disease,description,symptoms,causes,treatment,medications,diagnosis,prevention,complications,when_to_see_doctor,source_url,source_name,last_updated
(vertigo) Paroymsal  Positional Vertigo,"When youre dizzy, you may feel lightheaded, woozy, or disoriented. If you feel like you or the room are spinning, you have vertigo. These feelings may make you lose yourbalance. Dizziness can have many different causes. A sudden drop inblood pressureor beingdehydratedcan make you dizzy. Many people feel lightheaded if they get up too quickly from sitting or lying down. Certain medicines and problems with your innerearmay cause dizziness. So canmotion sickness. Sometimes dizziness can be a symptom of other disorders. As people get older, they may have more health problems and take more medicines. This makes them more likely to have problems with dizziness and balance.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/dizzinessandvertigo.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
AIDS,HIV stands for human immunodeficiency virus. HIV harms your immune system by destroying a type of white blood cell that helps your body fight infection. This puts you at risk for other infections and diseases. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. It happens when the bodys immune system is badly damaged because of the virus. Not everyone with HIV develops AIDS. HIV is spread through certain body fluids from a person who has HIV. This can happen:,"The first signs of HIV infection may be flu-like symptoms: • Fever • Chills • Rash • Night sweats (heavy sweating during sleep) • Muscle aches • Sore throat • Fatigue • Swollen lymph nodes • Mouth ulcers These symptoms may come and go within two to four weeks. This stage is called acute HIV infection. If the infection is not treated, it becomes chronic HIV infection. Often, there are no symptoms during this stage. If it is not treated, eventually the virus will weaken your bodys immune system. Then the infection will progress to AIDS. This is the late stage of HIV infection. Because your immune system is badly damaged, your body cannot fight off other infections, called opportunistic infections (OIs). OIs are infections that happen more frequently or are more severe in people who have weakened immune systems. Some people may not feel sick during the earlier stages of HIV infection. So the only way to know for sure whether you have HIV is to get tested.",Information not available on MedlinePlus page.,"There is no cure for HIV infection, but it can be treated with medicines. This is called antiretroviral therapy (ART). ART can make HIV infection a manageable chronic condition. It also reduces the risk of spreading the virus to others. Most people with HIV live long and healthy lives if they get ART as soon as possible and stay on it. Its also important to take care of yourself. Making sure that you have the support you need, living a healthy lifestyle, and getting regular medical care can help youenjoy a better quality of life.","There is no cure for HIV infection, but it can be treated with medicines.",Information not available on MedlinePlus page.,"You can reduce the risk of getting or spreading HIV by: • Getting tested for HIV. • Choosing less risky sexual behaviors. This includes limiting the number of sexual partners you have and using latex condoms every time you have sex. If your or your partner is allergic to latex, you can use polyurethane condoms. • Getting tested and treated for sexually transmitted infections (STIs). • Not injecting drugs. • Talking to your provider aboutmedicines to prevent HIV:PrEP (pre-exposure prophylaxis) is for people who dont already have HIV but are at very high risk of getting it. PrEP is daily medicine that can reduce this risk.PEP (post-exposure prophylaxis) is for people who have possibly been exposed to HIV. It is only for emergency situations. PEP must be started within 72 hours after a possible exposure to HIV. • PrEP (pre-exposure prophylaxis) is for people who dont already have HIV but are at very high risk of getting it. PrEP is daily medicine that can reduce this risk. • PEP (post-exposure prophylaxis) is for people who have possibly been exposed to HIV. It is only for emergency situations. PEP must be started within 72 hours after a possible exposure to HIV. NIH: National Institutes of Health",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/hivaids.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Acne,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can causescars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesnt cause acne, but stress can make it worse. If you have acne:",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/acne.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Alcoholic hepatitis,Unable to retrieve information from MedlinePlus.,Information not available.,Information not available.,Information not available.,Consult a healthcare professional for medication recommendations.,Information not available.,Information not available.,Information not available.,Information not available.,https://medlineplus.gov/alcoholicliverdisease.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Allergy,"An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing. Substances that often cause reactions are: Normally, your immune system fights germs. It is your bodys defense system. In most allergic reactions, however, it is responding to a false alarm. Genes and the environment probably both play a role. Allergies can cause a variety of symptoms such as a runny nose, sneezing, itching,rashes, swelling, orasthma. Allergies can range from minor to severe.Anaphylaxisis a severe reaction that can be life-threatening. Doctors use skin and blood tests to diagnose allergies. Treatments include medicines, allergy shots, and avoiding the substances that cause the reactions.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/allergy.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Arthritis,"If you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. Any disorder that affects the joints is often called arthritis. Joints are places where two bones meet, such as your elbow or knee. Most types of arthritis can cause joint pain and inflammation (swelling). Over time, a swollen joint can become severely damaged. Some kinds of arthritis can also cause problems in your organs, such as your eyes or skin. Treatment will depend on the type of arthritis you have. Common types of arthritis include:","Pain, redness, warmth, and joint inflammation are common arthritis symptoms. You may not be able to move your joint as well as it should. Other symptoms could includefever, weight loss, breathing difficulties, or a rash. Symptoms often get worse as you age. Some symptoms of arthritis may be signs of other illnesses.",Information not available on MedlinePlus page.,"Treatment depends on the type of arthritis you have. It may include medicine or surgery. Your provider will work with you to improve your symptoms and quality of life. A few ways to help manage your symptoms include: • Hot or cold packs • Relaxation techniques • Use of splints, braces, and/orassistive devices NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",It may include medicine or surgery.,"To find out if you have arthritis, your health care provider may: • Ask you about your medical history, including your symptoms. • Do a physical exam. • Order blood tests or takex-rays. Your provider may refer you to a rheumatologist (a doctor who specializes in arthritis care) for tests, diagnosis, and care.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/arthritis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Bronchial Asthma,"Asthma is a chronic (long-term) lung disease. It affects your airways, the tubes that carry air in and out of your lungs. When you have asthma, your airways can become inflamed and narrowed. This can cause wheezing,coughing, and tightness in your chest. When these symptoms get worse than usual, it is called an asthma attack or flare-up. The exact cause of asthma is unknown. Genetics and your environment likely play a role in who gets asthma. An asthma attack can happen when you are exposed to an asthma trigger. An asthma trigger is something that can set off or worsen your asthma symptoms. Different triggers can cause different types of asthma:","The symptoms of asthma include: • Chest tightness • Coughing, especially at night or early morning • Shortness of breath • Wheezing, which causes a whistling sound when you breathe out These symptoms can range from mild to severe. You may have them every day or only once in a while. When you are having an asthma attack, your symptoms get much worse. The attacks may come on gradually or suddenly. Sometimes they can be life-threatening. They are more common in people who have severe asthma. If you are having asthma attacks, you may need a change in your treatment.","The exact cause of asthma is unknown. Genetics and your environment likely play a role in who gets asthma. An asthma attack can happen when you are exposed to an asthma trigger. An asthma trigger is something that can set off or worsen your asthma symptoms. Different triggers can cause different types of asthma: • Allergic asthma is caused by allergens. Allergens are substances that cause an allergic reaction. They can includeDust mitesMoldPetsPollen from grass, trees, and weedsWaste from pests such as cockroaches and mice • Dust mites • Mold • Pets • Pollen from grass, trees, and weeds • Waste from pests such as cockroaches and mice • Nonallergic asthma is caused by triggers that are not allergens, such asBreathing in cold airCertain medicinesHousehold chemicalsInfections such ascoldsand thefluOutdoor air pollutionTobacco smoke • Breathing in cold air • Certain medicines • Household chemicals • Infections such ascoldsand theflu • Outdoor air pollution • Tobacco smoke • Occupational asthma is caused by breathing in chemicals or industrial dusts at work • Exercise-induced asthma happens during physical exercise, especially when the air is dry Asthma triggers may be different for each person and can change over time.","If you have asthma, you will work with your health care provider to create a treatment plan. The plan will include ways to manage your asthma symptoms and prevent asthma attacks. It will include: • Strategies to avoid triggers.For example, if tobacco smoke is a trigger for you, you should not smoke or allow other people to smoke in your home or car. • Short-term relief medicines,also called quick-relief medicines. They help prevent symptoms or relieve symptoms during an asthma attack. They include an inhaler to carry with you all the time. It may also include other types of medicines which work quickly to help open your airways. • Control medicines.You take them every day to help prevent symptoms. They work by reducing airway inflammation and preventing narrowing of the airways. If you have a severe attack and the short-term relief medicines do not work, you will need emergency care. Your provider may adjust your treatment until asthma symptoms are controlled. Sometimes asthma is severe and cannot be controlled with other treatments. If you are an adult with uncontrolled asthma, in some cases your provider might suggest bronchial thermoplasty. This is a procedure that uses heat to shrink the smooth muscle in the lungs. Shrinking the muscle reduces your airways ability to tighten and allows you to breathe more easily. The procedure has some risks, so its important to discuss them with your provider.","• Short-term relief medicines,also called quick-relief medicines. It may also include other types of medicines which work quickly to help open your airways. • Control medicines.","Your health care provider may use many tools to diagnose asthma: • Physical exam • Medical history • Lung function tests, including spirometry, to test how well your lungs work • Tests to measure how your airways react to specific exposures. During this test, you inhale different concentrations of allergens or medicines that may tighten the muscles in your airways. Spirometry is done before and after the test. • Peak expiratory flow (PEF) tests to measure how fast you can blow air out using maximum effort • Fractional exhaled nitric oxide (FeNO) tests to measure levels of nitric oxide in your breath when you breathe out. High levels of nitric oxide may mean that your lungs are inflamed. • Allergyskinorbloodtests, if you have a history of allergies. These tests check which allergens cause a reaction from your immune system.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/asthma.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Cervical spondylosis,Unable to retrieve information from MedlinePlus.,Information not available.,Information not available.,Information not available.,Consult a healthcare professional for medication recommendations.,Information not available.,Information not available.,Information not available.,Information not available.,https://medlineplus.gov/cervicalspondylosis.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Chicken pox,"Chickenpox is an infection caused by the varicella-zoster virus. Most cases are in children under age 15, but older children and adults can get it. It spreads very easily from one person to another. The classic symptom of chickenpox is an uncomfortable, itchy rash. The rash turns into fluid-filled blisters and eventually into scabs. It usually shows up on the face, chest, and back and then spreads to the rest of the body. Other symptoms include: Chickenpox is usually mild and lasts 5 to 10 days. Calamine lotions and oatmeal baths can help with itching. Acetaminophen can treat the fever. Do not use aspirin for chickenpox; that combination can causeReye syndrome.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/chickenpox.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
Chronic cholestasis,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons. There are many kinds of liver diseases: Symptoms of liver disease can vary, but they often include swelling of the abdomen and legs, bruising easily, changes in the color of your stool and urine, andjaundice, or yellowing of the skin and eyes. Sometimes there are no symptoms. Tests such as imaging tests and liver function tests can check for liver damage and help to diagnose liver diseases.",Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Medication information included in treatment plan. Consult a healthcare professional.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,Information not available on MedlinePlus page.,https://medlineplus.gov/liverdiseases.html,MedlinePlus - National Library of Medicine (NLM),2026-01-31
